,name,salary_from,salary_to,salary_currency,area_name,published_at
0,IT аналитик,35000.0,45000.0,RUR,Санкт-Петербург,2007
1,Аналитик-проектировщик ПО,55000.0,60000.0,RUR,Санкт-Петербург,2007
2,Системный аналитик,75000.0,95000.0,RUR,Москва,2007
3,Инженер поддержки пользователей,35000.0,45000.0,RUR,Москва,2007
4,UNIX - администратор,60000.0,70000.0,RUR,Москва,2007
5,Системный администратор,29000.0,31500.0,RUR,Москва,2007
6,Web-программист,30000.0,40000.0,RUR,Москва,2007
7,Программист,5000.0,10000.0,RUR,Саратов,2007
8,PHP-программист,40000.0,50000.0,RUR,Москва,2007
9,Менеджер по продажам,15000.0,30000.0,RUR,Екатеринбург,2007
10,Руководитель департамента информационно-технического оснащения,52000.0,67000.0,RUR,Москва,2007
11,Технический специалист (АТС Siemens),30000.0,40000.0,RUR,Санкт-Петербург,2007
12,Специалист (Информационные технологии),38000.0,46000.0,RUR,Москва,2007
13,"Ведущий программист-разработчик, системный архитектор (OFA+Oracle Express)",60000.0,80000.0,RUR,Москва,2007
14,Программист баз данных,36000.0,50000.0,RUR,Москва,2007
15,Менеджер по работе с юридическими лицами,15000.0,30000.0,RUR,Москва,2007
16,Web-программист,26000.0,36000.0,RUR,Москва,2007
17,Программист 1С,70000.0,70000.0,RUR,Москва,2007
18,Программист 1С,33000.0,40000.0,RUR,Санкт-Петербург,2007
19,Сервисный инженер,15000.0,28000.0,RUR,Москва,2007
20,Менеджер по ведению проектов,20000.0,40000.0,RUR,Москва,2007
21,Менеджер по ведению проектов,20000.0,50000.0,RUR,Москва,2007
22,Веб-программист,30000.0,40000.0,RUR,Москва,2007
23,Системный администратор,18000.0,25000.0,RUR,Москва,2007
24,Сетевой инженер,55000.0,60000.0,RUR,Москва,2007
25,Системный инженер,55000.0,60000.0,RUR,Москва,2007
26,IT Директор,80000.0,100000.0,RUR,Москва,2007
27,Программист 1С (8.0)/Разработчик,65000.0,75000.0,RUR,Москва,2007
28,Зав.сектором техничекого обеспечения и информационных технологий,16000.0,25000.0,RUR,Екатеринбург,2007
29,Системный администратор,30000.0,45000.0,RUR,Москва,2007
30,Старший системный администратор,34000.0,36000.0,RUR,Москва,2007
31,Системный администратор,15000.0,18000.0,RUR,Красноярск,2007
32,Технический специалист по технологиям Microsoft / Intel (Компания системный интегратор),50000.0,80000.0,RUR,Москва,2007
33,Программист (Web-программист),60000.0,67000.0,RUR,Москва,2007
34,Начальник отдела сопровождения процессинга,80000.0,100000.0,RUR,Москва,2007
35,Администратор базы данных (Oracle DBA),36000.0,36000.0,RUR,Санкт-Петербург,2007
36,Системный администратор,20000.0,30000.0,RUR,Москва,2007
37,Специалист по технической поддержке,15000.0,25000.0,RUR,Москва,2007
38,Ведущий инженер-программист 1С 7.7. (Зарплата и Кадры),50000.0,70000.0,RUR,Москва,2007
39,Системный администратор,32000.0,34000.0,RUR,Москва,2007
