name,salary_from,salary_to,salary_currency,area_name,published_at
Frontend-разработчик (React JS),,,,Новосибирск,2022-12-07T05:04:39+0300
Инженер по инфраструктуре,90000.0,,RUR,Новосибирск,2022-12-07T04:47:54+0300
Инженер-программист,75000.0,,RUR,Хабаровск,2022-12-07T03:08:59+0300
Frontend-developer/Верстальщик (удаленно),,,,Братск,2022-12-07T04:45:13+0300
Frontend-developer/Верстальщик (удаленно),,,,Иркутск,2022-12-07T04:45:13+0300
Специалист OSINT,,,,Москва,2022-12-07T00:49:21+0300
Frontend-разработчик (React JS),,,,Хабаровск,2022-12-07T05:04:39+0300
Главный специалист отдела автоматизации и связи,,,,Томск,2022-12-07T05:13:52+0300
Графический дизайнер,280000.0,280000.0,KZT,Алматы,2022-12-07T05:24:40+0300
Разработчик 1С,200000.0,250000.0,RUR,Москва,2022-12-07T02:14:47+0300
Программист 1С,,,,Новосибирск,2022-12-07T04:44:01+0300
Менеджер по календарно-сетевому планированию Дирекция по управлению проектами,,,,Новокузнецк,2022-12-07T05:22:09+0300
Главный механик на производстве,60000.0,100000.0,RUR,Красноярск,2022-12-07T05:51:22+0300
Механик по выпуску автотранспорта,260000.0,300000.0,RUR,Астана,2022-12-07T02:31:24+0300
Менеджер по работе с клиентами,57000.0,120000.0,RUR,Чехов,2022-12-07T00:09:54+0300
Экономист-аналитик,,,,Кемерово,2022-12-07T05:28:19+0300
Инженер-механик,45000.0,,RUR,Красноярск,2022-12-07T04:16:47+0300
Монтажник (монтажница) радиоэлектронных приборов (РЭП),,,,Новосибирск,2022-12-07T05:10:48+0300
Ведущий инженер,35000.0,,RUR,Омск,2022-12-07T05:26:00+0300
Технический писатель,,,,Новосибирск,2022-12-07T05:22:49+0300
QA-инженер/Специалист по тестированию (PRO),,,,Москва,2022-12-07T02:59:53+0300
Программист,30000.0,39000.0,RUR,Иркутск,2022-12-07T04:58:13+0300
Токарь-универсал,40000.0,,RUR,Барнаул,2022-12-07T04:51:12+0300
Проектировщик кухонь,45000.0,,RUR,Хабаровск,2022-12-07T03:05:14+0300
Программист-разработчик 1C,120000.0,150000.0,RUR,Калининград,2022-12-07T00:35:06+0300
Тестировщик 1С,70000.0,,RUR,Владивосток,2022-12-07T03:06:12+0300
Токарь-фрезеровщик,,,,Петропавловск-Камчатский,2022-12-07T01:54:31+0300
Веб-дизайнер / UX/UI Designer,,,,Санкт-Петербург,2022-12-07T01:09:14+0300
Регулировщик радиоэлектронной аппаратуры (РЭА),47000.0,47000.0,RUR,Новосибирск,2022-12-07T05:10:48+0300
Инженер по защите информации,30000.0,39000.0,RUR,Иркутск,2022-12-07T04:57:20+0300
Токарь ЧПУ станка на завод по производству металлоконструкций,200000.0,300000.0,KZT,Караганда,2022-12-07T05:24:19+0300
Web-программист / web-разработчик,150000.0,,RUR,Владивосток,2022-12-07T04:07:21+0300
Ведущий специалист отдела моделирования и математического анализа,70000.0,,RUR,Кемерово,2022-12-07T04:21:59+0300
Токарь-расточник,40000.0,60000.0,RUR,Кемерово,2022-12-07T04:02:48+0300
PHP developer,,,,Йошкар-Ола,2022-12-07T01:42:50+0300
Motion Designer,,,,Минск,2022-12-07T00:40:08+0300
Специалист по поддержке 1С,60000.0,79000.0,RUR,Иркутск,2022-12-07T04:34:06+0300
Инженер по гарантии,50000.0,,RUR,Новосибирск,2022-12-07T05:29:47+0300
Специалист по созданию каталогов по подбору автозапчастей,65000.0,75000.0,RUR,Владивосток,2022-12-07T02:45:42+0300
QA Mobile,,,,Москва,2022-12-07T03:05:09+0300
Программист 1С,,,,Комсомольск-на-Амуре,2022-12-07T04:11:30+0300
Программист 1С,,,,Арсеньев,2022-12-07T04:11:41+0300
Машинист дробильной установки,,,,Петропавловск-Камчатский,2022-12-07T04:56:43+0300
PHP developer,,,,Нижний Новгород,2022-12-07T01:42:26+0300
Программист 1С,,,,Благовещенск (Амурская область),2022-12-07T04:11:33+0300
Главный эксперт Управления по работе на розничном рынке электроэнергии,140000.0,140000.0,RUR,Красноярск,2022-12-07T03:58:17+0300
Программист 1С,,,,Чита,2022-12-07T04:11:48+0300
Главный специалист по информационной безопасности,,,,Новосибирск,2022-12-07T05:07:49+0300
Токарь (по совместительству),15000.0,,RUR,Омск,2022-12-07T05:11:01+0300
Аналитик отдела продаж,75000.0,85000.0,RUR,Владивосток,2022-12-07T04:07:29+0300
Механик,39000.0,39000.0,RUR,Кемерово,2022-12-07T05:44:32+0300
Механик,28000.0,28000.0,RUR,Зима,2022-12-07T04:53:49+0300
PHP developer,,,,Чебоксары,2022-12-07T01:43:10+0300
Системный администратор,35000.0,35700.0,RUR,Новосибирск,2022-12-07T04:32:08+0300
Программист 1С,,,,Уссурийск,2022-12-07T04:11:45+0300
Программист / Программист 1С,,,,Иркутск,2022-12-07T04:34:14+0300
Программист 1С,,,,Находка,2022-12-07T04:11:38+0300
